Username,Comment,Stemming,Translated,Sentiment_polarity,Sentiment
@boynatamegelli7258,"Bagi presiden selanjutnya ,tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah air,sangat meresahkan keamanan negeri ini rapuh ,serapuh pondasi negeri yang banyak digerogoti koruptor",presiden tolong keman negeri baik anak kosong rusak satu suka tumpah darah saudara tanah airsangat resah aman negeri rapuh rapuh pondasi negeri gerogot koruptor,"President please where is the country, good, empty child, damaged, one likes to spill the blood of brothers, homeland, very restless, safe, fragile country, fragile, the foundation of the country is being eroded by corruption",0.21666666666666667,positive
@user-yl5ze8sf7s,Yg sombong pasti akan tumbang....,sombong tumbang,arrogant fell,0.0,neutral
@Nurhayati-zt9bv,"Tuh PDIP menang Gerindra tdk protes curang , soalnya legowo  , menerima kekalahan , dasar dari PDIPnya hatinya busuk terhadap Gerindra tdk boleh Gerindra menang , nanti kalau Gerindra menang pasti deh di bilang curang .Berarti tdk punya jiwa kenegarawan bagi PDIP sebab menuduh curang dan tdk legowo menerima kekalahan",tuh pdip menang gerindra protes curang legowo terima kalah dasar pdipnya hati busuk gerindra gerindra menang gerindra menang deh bilang curang jiwa kenegarawan pdip tuduh curang legowo terima kalah,"That PDIP won, Gerindra protested cheating, accepted defeat, basically PDIP has a rotten heart, Gerindra, Gerindra won, Gerindra won, said cheating, statesmanlike spirit PDIP accused cheating, accepted defeat, accepted defeat",0.0,neutral
@RisyanaPutriBalkis,Wakulja alhakku wahazakal batil innal batila kanazahika.,wakulja alhakku wahazakal batil innal batila kanazahika,wakulja alhakku wahazakal batil innal batila kanazahika,0.0,neutral
@user-qd5nz5zt6s,Sirekap alibaba,sirekap alibaba,sirekap alibaba,0.0,neutral
@ogan8881,"Yang gawal dan melihat orang nya kebanyakanabok  hasil kalah berkoar-koar  di mana  ente di TPS ,apa dirimah  janda",gawal orang kebanyakanabok hasil kalah berkoarkoar ente tps dirimah janda,The result of losing is that you can't boast but you're still a widow,0.0,neutral
@ogan8881,Mana yang gawal sakit ya ohno,gawal sakit ohno,guard against pain ohno,0.0,neutral
@user-dc3uk7jk4v,"Maaf parah politisi jangan sekali kali mengotorkan raknyat Indonesia ,yg kalah jangan mengadodomba raknyat yg kalah tulah yg tidak puas karena pakai otak kotor baik mahasiswa mau pun guru besar elit politik yg kalah karena kotor otaknya harus dicuci pakai oil",maaf parah politis kali kotor raknyat indonesia kalah mengadodomba raknyat kalah tulah puas pakai otak kotor mahasiswa guru elit politik kalah kotor otak cuci pakai oil,"sorry, politics is too bad, times are dirty, the Indonesian people have lost by adjudicating the people, the people have lost, they are satisfied with using dirty brains, students, teachers, political elites, they have lost their dirty brains, washing them with oil",-0.35714285714285715,negative
@EDISONMANUKOY-ge8uc,Ko gak mau ngaku kalah😂😂😂😂😂😂😂😮😮😮,aku kalah,I lose,0.0,neutral
@user-oz2eh7wi3l,masi bertobatlah masi bertobatlah mana ni suaranya 01 03 masi blom puas dgn kekalahanya salam ✌️😊,tobat tobat nih suara puas kekalahanya salam,"repent, repent, this is the voice of satisfaction in defeat, greetings",0.0,neutral
@ikhsankbd2799,"Kalau bicara bersih dari ke tiga  paslon tidak ada yg bersih boss.... Tim sukses nya masing&quot; paslon Selalu dengan politik uang,, akui saja memang 02 juara nya,<br>Nex jgn merendahkan mempermalukan lawan di muka umum,, ingat ingat rakyat sdh cerdas,,",bicara bersih paslon bersih bos tim sukses paslon politik uang aku juara nyanex rendah malu lawan muka rakyat cerdas,"clean talk, clean candidate, successful team boss, money politics candidate, I am the champion of Nyanex, humble and shy against the faces of intelligent people",0.2638888888888889,positive
@arifismono7401,Ngecebeeeek  dihitung dengan partsi besar dicaptes  no 2 aja uda unggul maas 😂😂😂🎉,ngecebeeeek hitung partsi dicaptes no unggul maas,"it's crazy to count the parts but it's a superior number, maas",0.04999999999999999,positive
@mcjayawicara4422,"Alhamdulillah ,, Allah menyelamatkan NKRI dari org2 arogan picik oengecut yg tak ngaku kekalahannya. Dan berlindung dgn atas nama rakyat, an Demokrasi, .<br>Ya Allah imhamba beraerah diri dihadapan kekuasaanmu",alhamdulillah allah selamat nkri orang arogan picik oengecut aku kalah lindung nama rakyat an demokrasi allah imhamba beraerah hadap kuasa,"thank God, God is safe, the country is arrogant, petty, cowardly, I lost to protect the name of the people and democracy, God, the servant of God is in the power of power",0.5,positive
@user-uc6sf1ol7m,✌️✌️✌️✌️✌️✌️✌️✌️✌️🥰,,,,negative
@user-bc4mt1dk7u,Siapa pun yg jd presiden tdk akan ngaruh bagi saya,presiden ngaruh,the president influences,0.0,neutral
@user-ut2pu1yc2j,❤❤❤❤ Prabowo gibran,prabowo gibran,Prabowo Gibran,0.0,neutral
@IksanIsmail-lm5td,1 cocok yg jdi presiden.,cocok presiden,suitable for the president,0.55,positive
@user-st6sg8hm7f,Jgn cari alasan... kalau kalah akui saja. Buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo. Itu saja sudah terbukti masyarakat sudah tdk memilih ganjar.,cari alas kalah aku bukti kampaye puan bilang presiden ganjar tonton presiden prabowo bukti masyarakat pilih ganjar,"look for a reason to lose me, proof of your campaign, you say the president is ganjar, watch president prabowo, proof that the community voted for ganjar",0.0,neutral
@user-st6sg8hm7f,Karena ganjar terlalu angkuh dan sombong. Masyarakat bisa menilai sendiri tdk ada hubungannya dgn jokowi,ganjar angkuh sombong masyarakat nilai hubung jokowi,reward the arrogant arrogance of the Jokowi value society,0.0,neutral
@kaila7347,jujur ajj kalian klu Anies yg menang ko bisa2 nya salah infut,jujur anies menang bisa2 salah infut,"To be honest, Anies won, maybe he made a mistake",0.6,positive
@Marthen-yh2su,SAYA TIDAK INGIN MEMILIH KARENA KEPALA DESA SEBAB SAYA MEMILIH PRESIDEN DENGAN HATI NURANI SEPERTI JIKA PIALA DUNIA TIM YG SAYA PILIH APAPUN YG TERJADI TETAP PILIH TIM YG SAYA ANDALKAN,pilih kepala desa pilih presiden hati nurani piala dunia tim pilih apa pilih tim andal,choose the village head choose the president of conscience world cup team choose what choose a reliable team,0.0,neutral
@FajrRi8ii-ou5zy,Curang,curang,cheating,0.0,neutral
@gatotriyanto4205,HASIL CEPAT YG DI BAYAR WOWO AKAN DI ADILI....RAKUYAT SELURUH INDONESIA SEDANG BERSATU ...AMIN,hasil cepat bayar wowo adil rakuyat indonesia satu amin,fast results pay wowo fair Indonesian people one amen,0.44999999999999996,positive
@bagussuryadi8324,Kl membahas wahabi okkkk❤,bahas wahabi okkkk,Let's talk about Wahhabism,0.0,neutral
@rusakajor3858,Coba dijumlah hasil %tase dari ketiga capres hasilnya jadi berapa %,coba jumlah hasil tase tiga capres hasil,try the sum of the results of the three presidential candidates,0.0,neutral
@user-xr3lw8rd3s,Akuilah keunggulan Prabowo Gibran,aku unggul prabowo gibran,I'm ahead of Prabowo Gibran,0.0,neutral
@user-xr3lw8rd3s,"Prabowo Gibran siap lantai,jangan otak Atik, itu suara Rakyat",prabowo gibran lantaijangan otak atik suara rakyat,Prabowo Gibran says don't mess with the people's vote,-0.175,negative
@aaaaaa-fi3go,02.Mantul<br>wis wayae 2024.P.prabowo + Gibran <br>PRESIDEN,mantulwis wayae p prabowo gibran presiden,mantulwis wayae p prabowo gibran president,0.0,neutral
@Ronaldo_Editz155,Prabowo,prabowo,Prabowo,0.0,neutral
@imamkambali6196,Rakyat kecewa berat dng ulah pejabat curang sy mengikuti pemilu sejak th 1977 th ini paling terburuk,rakyat kecewa berat ulah jabat curang ikut milu buruk,The people are very disappointed because the office is fraudulent and follows the bad plan,-0.8374999999999999,negative
@imamkambali6196,Quik Qoun ini memecah belah Rakyat sok tau ( pinter) bro lu ngoceh opo lihaten kecurangan yg terjadi di bawah pejabat MK,quik qoun pecah belah rakyat sok tau pintar bro oceh opo lihaten curang jabat,"quik qoun divides the people, you know how smart bro oceh or look at cheating",0.21428571428571427,positive
@imamkambali6196,Yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,curang moga laknat jabat mentang2 taubat tuhan suka berhianat,"Cheating, may the curse be taken away from repentance, God likes to betray",0.0,neutral
@dwi_raharjo,"Dalam kedisiplinan mematuhi aturan kesehatan, kita menunjukkan kepedulian terhadap masyarakat.",disiplin patuh atur sehat peduli masyarakat,Discipline obeys healthy rules and cares for the community,0.5,positive
@yandi_prataya,Pendidikan jarak jauh menawarkan alternatif belajar yang efektif,didik jarak tawar alternatif ajar efektif,educate the bargaining distance of effective teaching alternatives,0.6,positive
@inez_hauraa,"Melalui vaksinasi, kita melibatkan diri dalam upaya global melawan COVID-19.",vaksinasi libat upaya global lawan covid,Vaccination is part of global efforts to fight Covid,0.0,neutral
@user-cw8df6jv8e,"Di desa memang begtu, ap lgi perangkat kabupaten",desa begtu perangkat kabupaten,the village is a district apparatus,0.0,neutral
@user-lx3rm1wz6c,Kalau yg kalah pasti omong nya curang memang orang pilih Presiden nya yg lain Peresiden nya sombong,kalah omong curang orang pilih presiden residen sombong,"Losing people's cheating talk, elect an arrogant resident president",0.8,positive
@dewisamsuliah9457,Penipuan berjamaah...mumpung berkuasa,tipu jamaah mumpung kuasa,congregants while in power,0.0,neutral
@dharsonofarras5390,"Posisi Menang PasLon Capres dan Cawapres versi Quick Count  :<br>PasLon  01  :  Menang (isi nasib)<br>PasLon  02  :  Menang (merasa senang)<br>PasLon  03  :  Menang (gung malu)<br>mulai dari pemilu 2004 sampai dengan pemilu 2024 bagi PasLon yang kalah pasti selalu judul sinetron nya sama yaitu pemilu curang TSM ... lagu lama kaset kusut ,,, basi<br>hargai kerja keras petugas KPPS seluruh indonesia yang telah mengawal suara rakyat hasil demokrasi",posisi menang paslon capres cawapres versi quick count paslon menang isi nasibpaslon menang senangpaslon menang gung malumulai milu milu paslon kalah judul sinetron milu curang tsm lagu kaset kusut basihargai kerja keras tugas kpps indonesia awal suara rakyat hasil demokrasi,the winning position of the presidential candidate vice presidential candidate quick count version of the winning candidate of the content of the fate of the candidate of the candidate who wins is happy the candidate of the election wins gung embarrassed begins milu milu the candidate loses the title of the soap opera milu cheating tsm song the crumpled cassette basi appreciates the hard work of the Indonesian KPPS task the beginning of the people's vote as a result of democracy,0.2677083333333334,positive
@DedekDedek-nu3wv,"Kubu 01 dan 03 pasti bilang pemilu ini curang,kalau pengin bukti kubu 01 dan 03 turun kesetiap daerah biar kubu 01 dan 03 dipermalukan rakyat",kubu bilang milu curangkalau pengin bukti kubu turun tiap daerah biar kubu malu rakyat,Kubu said that he was cheating if he wanted proof that Kubu would come down to each district so that Kubu would shame the people,-0.15555555555555556,negative
@DedekDedek-nu3wv,"Paslon01 dan 03 jangan sekali2 mengancam 02 ,karna rakyat yg memilih",paslon01 ancam rakyat pilih,candidate pair01 threatens people to vote,0.0,neutral
@ruspindi,Mengikuti,ikut,follow,0.0,neutral
@ghilangrisky4045,Qufjfiw original 😅rifi iris halus di Boru idjgi i❤,qufjfiw original rifi iris halus boru idjgi i,qufjfiw original rifi iris halus boru idjgi i,0.375,positive
@savidanfathan8992,Inilah suara rakyat.yang bilang curang.suruh turun ke desa desa dan tanya langsung ke rakyat. Siapa yang rakyat pilih pilpres tahun ini..jangan otak kotor,suara rakyat bilang curang suruh turun desa desa langsung rakyat rakyat pilih pilpres otak kotor,The voice of the people said it was cheating to tell the people to go down to the villages directly. The people voted for the presidential election with dirty brains,-0.21851851851851853,negative
@user-wm9ex7cp9u,"Yang kalah masti bingong? Maklum yg namanya orang kalah  bingong dan strees <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1363"">22:43</a> s <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1363"">22:43</a> s <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1161"">19:21</a> y😮g nac",kalah masti bingong maklum nama orang kalah bingong strees si si nac,lose must be confused understand the name of the person lost confused strees the nac,-0.4,negative
@Ndell01,"Heran kepingin amat jadi presiden,dah kalah2 aja mendingan ucapin sama yg menang",heran pengin presidendah kalah2 mending menang,"I'm surprised that if a beautiful president wants to lose, it's better to win",0.49000000000000005,positive
@user-gq1hk6fk4w,An anjjs  a  anjs peresjkden kndo  n tangkal perabowo gjnran jokowj,an anjjs a anjs peresjkden kndo n tangkal perabowo gjnran jokowj,and anjjs a anjs peresjkden kndo n tangal perabowo gjnran jokowj,0.0,neutral
@user-gq1hk6fk4w,Añjķis ankjs lletesiden jndo,ajis ankjs lletesiden jndo,ajis ankjs lletesiden jndo,0.0,neutral
@user-gq1hk6fk4w,😮ajakan  anjs pereskdanjan  anjjs perskkden  aanjj,aja anjs pereskdanjan anjjs perskkden aanjj,aja anjs pereskdanjan anjjs perskkden aanjj,0.0,neutral
@user-gq1hk6fk4w,Tangkap jokkwj gkbran perabowo tNgkap  gannat menag dj sjl tra  anis petesjden jnsk,tangkap jokkwj gkbran perabowo tngkap gannat menag dj sjl tra anis petesjden jnsk,capture jokkwj gkbran virgin capture gannat having dj sjl tra anise petesjden jnsk,0.0,neutral
@cosmasmidi2079,saya heran ya sakwan2 kita yang mebgikutti kompentisi pilpris ini ketika kalah tidakmerasa puas iniyang saya herankan seharus kita harus lapangdada cubalah kitaberpikir yanglebih baiklagi yang kalah bearti tidak di ingankan masyarakat yang menang maka Itulah pulihan masyarakat kita ya maaf kawan kalausaya salah,heran sakwan2 mebgikutti kompentisi pilpris kalah tidakmerasa puas iniyang heran harus lapangdada cubalah kitaberpikir yanglebih baiklagi kalah bearti ingankan masyarakat menang pulih masyarakat maaf kawan kalausaya salah,"It's surprising that people are participating in the presidential election competition, losing doesn't make them feel satisfied. Those who are surprised must be open-minded. Let's try to think better. Losing means wanting society to win and society to recover. Sorry, friend, if I'm wrong.",0.25,positive
@RoySitumorang-su4tm,Untut lembaga surpemu,untut lembaga surpemu,according to your surpemu board,0.0,neutral
@csmchannel,Curang ny dimana saya rakyat jawa antusias pilih 100% bpk prabowo gibran. Mau apa kalian apakalian tidak terima kekalahan. Kubu 01 dan kubu 03 jika ada pemilihan lagi pasti lebih tinggi dari angka yg di dapat 02  karna rakyat sudah pintar untk. memilih ingat itu.!!!,curang nya mana rakyat jawa antusias pilih bpk prabowo gibran apakalian terima kalah kubu kubu pilih angka rakyat pintar pilih,"How cheating are the Javanese people enthusiastic about voting for Mr Prabowo Gibran? Do you accept losing? The stronghold chooses the numbers, the smart people choose",0.40714285714285714,positive
@user-re7ox9rj3t,Klu ada kecurangan kenapa harus nunggu selesai tinggal tidak terima hasil pemilu biar di afakan pemilu ulang beres biar gak lama lama,curang tunggu selesai tinggal terima hasil milu biar afakan milu ulang beres biar,cheat wait until it's finished just accept the results of the milu so that the milu can be repeated so that it's finished,0.0,neutral
@supriyantobinramelan4109,"Siapapun presidennya bisa buat makmur negri ini. Terutama  BBM murah  Sembako murah ,,,terus jgn menangani covid seperti yg sudah  membuat rakyat hancur sampai sekarang ,,,",presiden makmur negeri bbm murah sembako murah tangan covid rakyat hancur,"The prosperous president of the country with cheap fuel, cheap basic food, the people's Covid hands are destroyed",0.26666666666666666,positive
@iosghiims5861,"mafhum kita ketahui, seseorang selalu akan berbicara sesuai kepentingannya,itu normal.pemilihan kata dan intonasi digunakan untuk mempengaruhi pikiran orang meskipun orang yg JD target kebanyakan juga SDH paham tujuann si pembicara,,,itu normal kita ketahui bersama.,JD seru aja jika melihat ekspresi seseorang berbicara membuat alasan dgn intonasinya.😁",mafhum tahu bicara sesuai kepentingannyaitu normal pilih intonasi pengaruh pikir orang orang target banyak paham tujuann sih pembicaraitu normal tahu seru ekspresi bicara alas intonasi,understand know speak according to interests it's normal choose intonation influence people's thinking target many understand the speaker's goal it's normal know exciting expression speak based on intonation,0.275,positive
@AliMasud-ng3tv,Klo gk siap kalah jangan nyapres laaah (01),kalah nyapres laaah,lost the presidential nomination,0.0,neutral
@user-tx2yy4so8b,Orang yg tidak mau menerima kekalahan maka orang trsbt todak cocok d jadikan pemimpin baik pemimpin negara juga Agama titik,orang terima kalah orang trsbt todak cocok jadi pimpin pimpin negara agama titik,"people who accept defeat, people who are trsbt don't fit to be a leader, leader of a country, dot religion",0.4,positive
@fithriya_tsabita1,Kondisi saat ini dalam perekonomian Indonesia memberikan sinyal positif pada inflasi (5)😢,kondisi ekonomi indonesia sinyal positif inflasi,Indonesia's economic conditions signal positive inflation,0.21363636363636362,positive
@PujiPku-wo2eo,Periksa ketua kpu yg mempermsin kn suara rakyat,periksa ketua kpu mempermsin suara rakyat,Check that the KPU chairman manipulates the people's vote,0.0,neutral
@ahongkoza3356,Saya rakyat Indonesia dari Indramayu dengan hati yang ikhlas memilih no 2,rakyat indonesia indramayu hati ikhlas pilih no,Indonesian people in Indramayu are willing to vote no,0.25,positive
@hermawan776,Lanjut kan program ikn demi kemajuan indonesia di mata dunia,program ikn maju indonesia mata dunia,"Indonesia's advanced science program, eyes of the world",0.4,positive
@user-sc3rg9lp5h,Ah ! Kalaopun g pemilu Bansos itu memang ada kan ?.,ah kalaopun milu bansos,"Ah, even if you have social assistance",0.03333333333333333,positive
@nursyam3196,Emang klau kita berkompetisi harus ad yg menang ad g kalah tp yg kalah selalu g terima itulah manusia tdk ad kepuasan,kompetisi menang kalah kalah terima manusia puas,competition win lose lose accept humans are satisfied,0.65,positive
@user-yb9dx4ki6q,Sekarang rakyat indonesia sudah cerdas kebanyakan memilih peresiden bpk prabowo termasuk saya yg memilih 02 astung kare orang bali bilang atau bersukur  pak prabowo menag mutlak salam sehat sy orang bali yg merantau kelampung,rakyat indonesia cerdas banyak pilih residen bpk prabowo pilih astung kare orang bal bilang bersukur prabowo menag mutlak salam sehat orang bal rantau lampung,"Intelligent Indonesian people voted a lot for the resident, BPK Prabowo, voted for Astung because the Bal people said they were grateful that Prabowo won absolute health, greetings to the people of Bal, Rantau Lampung.",0.5,positive
@awiaulia8722,Pospol nmr 2 yg unggul ya nmx ju perlombaan pasti ada yg kalah dan ada menang.,pospol nomor unggul nmx ju lomba kalah menang,pospol superior number nmx ju competition win or lose,0.75,positive
@bambangsuswanto,"Bedah partai, bedah presiden,jangan dipaksakan.",bedah partai bedah presidenjangan paksa,Don't force the presidential surgery party surgery,0.0,neutral
@bambangsuswanto,"Sulawesi,prabowo,gibran.menang .",sulawesiprabowogibran menang,Sulawesi Prabowogibran wins,0.3,positive
@bambangsuswanto,"Tapi ini bedah jauh bos,terimah saja.",bedah bosterimah,Bostasimah surgery,0.0,neutral
@bambangsuswanto,"Bedah,jauh bos,terimah kekalahannya.",bedahjauh bosterimah kalah,"Long distance boss, thank you for losing",-0.05,negative
@LastryFal,Alhamdullilah prabowo jadi prediden,alhamdullilah prabowo prediden,Thank God Prabowo is the President,0.0,neutral
@bambangsuswanto,Sudah mubasir bos,mubasir bos,mubasir boss,0.0,neutral
@EmiEmi-tp2eg,sblm rakyat brtndk harus ada putaran kedua,rakyat brtndk putar,people don't turn around,0.0,neutral
@EmiEmi-tp2eg,pemilu terburuk yg pernah ada,milu buruk,bad milu,-0.6999999999999998,negative
@AZISNaba.,AZIS  NAba,azis naba,azis naba,0.0,neutral
@FerdiandisemaSema,"Semoga pilihan calon presiden ,berjalan lancar dan juga aman terkendali n kondusif.fas@",moga pilih calon presiden jalan lancar aman kendali n kondusif fas,"Hopefully the election of the presidential candidate will run smoothly, safely, in a controlled and conducive manner",0.5,positive
@Taaaa-ojousama,Kalau kalah ya yang jelek2keluar.....padahal yang jelek 2 ni semua udah tau tapi apa yang udah di berikan buat negara ...ngomong pinter .!kalau dah dikasih jabatan ya begitu itulah ...,kalah jelek2keluar jelek nih tau negara omong pintar kasih jabat,"If you lose badly, you'll come out badly, you know, the country says it's smart and gives you the position",-0.39523809523809517,negative
@rosyidady5102,Ngikut aja lah..,ngikut,follow,0.0,neutral
@user-zh4wf4iq8o,Itu si Surya orang gila&#39; nganggap reme sama orang lain blm tentu dia mampuh..,sih surya orang gila nganggap reme orang mampuh,"Surya, crazy people think that people who can afford it",-0.6,negative
@user-kn9pc9cm3v,Udh Kalah Kalah aja 01 03 trima kenyataan GA usah CA ci cu,kalah kalah terima nyata ca ci cu,lose lose accept real ca ci cu,0.2,positive
@zullpikar-mt9yt,Julie. Yes. Hang. Curing. At. Tina&#39;s. Kds,julie yes hang curing at tas kds,julie yes hang curing at tas kds,0.0,neutral
@zullpikar-mt9yt,57.76p,76p,76p,0.0,neutral
@zullpikar-mt9yt,Hangar. Curing. P. Hiring. Sure AZ,hangar curing p hiring sure az,hangar curing p hiring sure az,0.5,positive
@BudiSantoso-ow4vx,Anakan banteng itu tahu apa  sih.. ayo sini datang kesini debat sama aku ajalh .<br>Aku tau betul proses di tps..kamu nol besar ..mulutmu aja kang  kanggg,ana banteng sih ayo kesini debat ajalh tau proses tps nol mulut kang kanggg,"I'm a bull, come here and debate, let's know the tps process, zero mouth, bro",0.0,neutral
@andrayyradhika448,Rakyat udah jenuh melihat radikalisme kita orang timur punya adab sopan santunyg bikin gaduh di negri ini hanyalah orang keturunan yg slalu bawa2 keturunan nabi nabi sopan dan sabar yidak rafikal kanya yg ngaku2 cucu2nya,rakyat jenuh radikalisme orang timur adab sopan santunyg bikin gaduh negeri orang turun bawa turun nabi nabi sopan sabar yidak rafikal kanya ngaku2 cucu2nya,"The people are fed up with the radicalism of the eastern people, manners and politeness make the country noisy, people bring down the prophet, the prophet is polite, patient, not raffical, he claims his grandchildren",-0.15555555555555556,negative
@andrayyradhika448,Disinilah 01 td demokrasi kekeh mau duaputaran apakah beliau punya uang untuk membiayainya walau 100 putaran orang radikal td akan menang yg jelas pemborosan anggaran apakah td sebaiknya uangny,demokrasi kekeh duaputaran beliau uang biaya putar orang radikal menang boros anggar uangny,"democracy chuckles two rounds, it costs money to spin, radical people win, waste their money",0.30000000000000004,positive
@Ki-hitam-ki-gede-alang-alang,Hiduuuuup prabowo ❤,hiduuuuup prabowo,Long live Prabowo,0.043181818181818175,positive
@Ki-hitam-ki-gede-alang-alang,Hiduuup prabowo.,hiduuup prabowo,Long live Prabowo,0.043181818181818175,positive
@andangSuryadi-zk4fe,"Saya hanya aneh dan ga masuk akal ...padahal 1dan 2 ...di debat capres ,ga ada gagasan ..KLO di bandingkan cafres no3",aneh masuk akal 1dan debat capres gagas banding cafres no3,strange makes sense 1 and presidential debate idea appeal cafres no3,-0.05,negative
@romiwijaya1938,"Apa lagi yang dikawal dan dijaga klo kalah ya kalah saja, justru pasukan nomor 02 yang harus menjaga kecurangan jangan sampai 01 dan 03 berbuat curang",kawal jaga kalah kalah pasu nomor jaga curang buat curang,"keep control, lose, lose, pot number, keep cheating, cheat",0.0,neutral
@romiwijaya1938,Walaupun suara 01 digabung dengan 03 tidak akan bisa mengejar suara 02.cukup 1putaran pemimpin sabar menangbtelak,suara gabung kejar suara 1putaran pimpin sabar menangbtelak,join voice chase voice 1 round lead patient win big,0.20000000000000004,positive
@romiwijaya1938,Pemimpin yang sabar dihujat danbdiremehkan didebat presiden didoakan oleh selurh masarakat indonesia untuk menjadi presiden 2024,pimpin sabar hujat danbdiremehkan debat presiden doa selurh masarakat indonesia presiden,"lead patiently in blasphemy and belittle the presidential debate, pray for the entire Indonesian people, President",0.0,neutral
@user-pu5hk8su6q,satu putaran aja cukup 02 pasti menang,putar menang,spin wins,0.3,positive
@edwinpurnama4740,Pada umumnya pemilih prabowo adalah pemilih/pendukung fanatik sejak pemilu 2014-2019 sekarang 2024 di tambah pendukung jokowi jelas menang telak,pilih prabowo pemilihpendukung fanatik milu dukung jokowi menang telak,"Vote for Prabowo, Milu's fanatical supporters support Jokowi to win by a landslide",0.8,positive
@asepsudrajat6362,Bukti prabowo menang kelak 58%,bukti prabowo menang kelak,proof that Prabowo will win in the future,0.4,positive
@novafarne7252,"Yg menang merayakan, yg kalah menjelaskan",menang raya kalah,win win lose,0.8,positive
@watynorhayaty2670,Ttp amin ☝️🤲🏻❤,amin,in,0.0,neutral
@Marthen-yh2su,"KALAU ADA SURAT SUARA YG SUDAH TERCOBLOS APAKAH ITU DIHITUNG OLEH KPPS, TENTUKAN TIDAK DIHITUNG, SEDANGKAN TERCOBLOS LEBIH DARI SATU CALEG KAN DIBATALKAN.",surat suara coblos hitung kpps tentu hitung coblos caleg batal,KPPS's vote-by-count ballots are of course cancelled,0.0,neutral
@sahroni7961,Mna suara Ny 01 03  sy MH 02,suara nya mah,it's his voice,0.0,neutral
@user-ey4ok3ev1r,"Ini orang anak PKI tidak mau mengala PKI gaya baru,pikiran nya mau bikin gadu dan mau bikin ribut",orang anak pki ala pki gaya barupikiran bikin gadu bikin ribut,people pki style pki new style make noise make noise,0.13636363636363635,positive
@jokoumboro2438,Kalau memang kalah ya di akui saja kurang legowo kalau memangkalat gak usah bertele tele ini semua pilihan rakyat,kalah aku legowo memangkalat tele tele pilih rakyat,"If I lose, I'm willing to go around voting for the people",0.25,positive
@jokoumboro2438,Nomer satu bagai mana ni gak ada perbincangan apa apa,nomer nih bincang,I'm talking about this number,0.0,neutral
@bapaktbhanafih2896,Konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax,konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax,konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax,0.0,neutral
@PinaSih-hh4lm,Maaf saya rakyat kecil nrarik Mentri jangan dari musuh  jaga nama baik  Prabowo gibran,maaf rakyat nrarik tri musuh jaga nama prabowo gibran,"Sorry, people are looking for enemies to protect Prabowo Gibran's name",-0.5,negative
